<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
A,20191128,81.08,81.08,81.08,81.08,0
AA,20191128,20.6,20.6,20.6,20.6,0
AAN,20191128,59.59,59.59,59.59,59.59,0
AAP,20191128,158.78,158.78,158.78,158.78,0
AAT,20191128,47,47,47,47,0
AB,20191128,28.88,28.88,28.88,28.88,0
ABB,20191128,22.07,22.07,22.07,22.07,0
ABBV,20191128,88.33,88.33,88.33,88.33,0
ABC,20191128,88.51,88.51,88.51,88.51,0
ABEV,20191128,4.23,4.23,4.23,4.23,0
ABG,20191128,112.52,112.52,112.52,112.52,0
ABM,20191128,38.84,38.84,38.84,38.84,0
ABR,20191128,15.12,15.12,15.12,15.12,0
ABR-A,20191128,26.14,26.14,26.14,26.14,0
ABR-B,20191128,25.744,25.744,25.744,25.744,0
ABR-C,20191128,26.1394,26.1394,26.1394,26.1394,0
ABT,20191128,85.42,85.42,85.42,85.42,0
AC,20191128,36.18,36.18,36.18,36.18,0
ACA,20191128,39.44,39.44,39.44,39.44,0
ACB,20191128,2.52,2.52,2.52,2.52,0
ACC,20191128,48,48,48,48,0
ACCO,20191128,9.21,9.21,9.21,9.21,0
ACEL,20191128,10.55,10.55,10.55,10.55,0
ACH,20191128,7.91,7.91,7.91,7.91,0
ACM,20191128,43.84,43.84,43.84,43.84,0
ACN,20191128,201.25,201.25,201.25,201.25,0
ACP,20191128,10.95,10.95,10.95,10.95,0
ACRE,20191128,15.59,15.59,15.59,15.59,0
ACV,20191128,24.2,24.2,24.2,24.2,0
ADC,20191128,74.62,74.62,74.62,74.62,0
ADM,20191128,42.94,42.94,42.94,42.94,0
ADNT,20191128,22.47,22.47,22.47,22.47,0
ADS,20191128,106.94,106.94,106.94,106.94,0
ADSW,20191128,32.9,32.9,32.9,32.9,0
ADT,20191128,9.48,9.48,9.48,9.48,0
ADX,20191128,15.53,15.53,15.53,15.53,0
AEB,20191128,24.3651,24.3651,24.3651,24.3651,0
AEE,20191128,74.18,74.18,74.18,74.18,0
AEFC,20191128,25.26,25.26,25.26,25.26,0
AEG,20191128,4.48,4.48,4.48,4.48,0
AEH,20191128,24.96,24.96,24.96,24.96,0
AEL,20191128,29.84,29.84,29.84,29.84,0
AEL-A,20191128,25.67,25.67,25.67,25.67,0
AEM,20191128,58.09,58.09,58.09,58.09,0
AEO,20191128,15,15,15,15,0
AEP,20191128,91.59,91.59,91.59,91.59,0
AEP-B,20191128,53.6,53.6,53.6,53.6,0
AER,20191128,61.54,61.54,61.54,61.54,0
AES,20191128,18.89,18.89,18.89,18.89,0
AFB,20191128,13.76,13.76,13.76,13.76,0
AFC,20191128,25.94,25.94,25.94,25.94,0
AFG,20191128,110.61,110.61,110.61,110.61,0
AFGB,20191128,26.79,26.79,26.79,26.79,0
AFGE,20191128,25.32,25.32,25.32,25.32,0
AFGH,20191128,26.19,26.19,26.19,26.19,0
AFI,20191128,3.99,3.99,3.99,3.99,0
AFL,20191128,54.82,54.82,54.82,54.82,0
AFT,20191128,14.77,14.77,14.77,14.77,0
AG,20191128,10.56,10.56,10.56,10.56,0
AGCO,20191128,78.98,78.98,78.98,78.98,0
AGD,20191128,10.06,10.06,10.06,10.06,0
AGI,20191128,5.49,5.49,5.49,5.49,0
AGM,20191128,82.29,82.29,82.29,82.29,0
AGM-D,20191128,26.199,26.199,26.199,26.199,0
AGM.A,20191128,72.84,72.84,72.84,72.84,0
AGN,20191128,185.38,185.38,185.38,185.38,0
AGO,20191128,49.83,49.83,49.83,49.83,0
AGO-B,20191128,27.25,27.25,27.25,27.25,0
AGO-E,20191128,26.165,26.165,26.165,26.165,0
AGO-F,20191128,25.62,25.62,25.62,25.62,0
AGR,20191128,49.03,49.03,49.03,49.03,0
